feature,importance_gain,importance_split
prev_avg_AMT_DIFF_CREAPP,274.15989859849213,33.73333333333333
prev_recent_APP_CREDIT_PERC,218.24414231379828,33.4
prev_avg_AMT_DIFF_CREDIT_GOODS,275.3440949235112,33.333333333333336
prev_recent_AMT_CREDIT,212.02388418147652,33.2
CNT_ADULT,237.39260961214706,33.06666666666666
WALLSMATERIAL_MODE_mean_encode,263.3455893792212,32.6
own_realty_mean_income_rel,235.2193384001652,32.199999999999996
inst_max_DPD,268.1451045354207,32.13333333333334
Total_AMT_LEFT,186.94377629359565,31.93333333333333
prev_active_sum_AMT_ANNUITY,268.2096871872743,31.8
NONLIVINGAREA_MEDI,209.37331524093943,31.666666666666675
prev_refused_DAYS_DECISION_MIN,214.0682729318738,31.46666666666666
prev_sum_AMT_PAY_YEAR,217.3185009752711,31.4
prev_max_DAYS_END_DIFF,244.39107697109384,31.333333333333332
FLAG_DOCUMENT_3,585.7907485405605,30.6
own_car_mean_income_rel,224.11670411651335,30.53333333333333
gender_mean_income_rel,203.46318960090477,30.333333333333336
prev_recent_AMT_CREDIT_GOODS_PERC,195.8971038672763,30.266666666666662
prev_recent_AMT_DIFF_CREDIT_GOODS,204.24957704196373,30.2
bureau_min_MONTH_LAST_C,263.6078481813272,30.066666666666663
COMMONAREA_MEDI,204.07386144797007,30.066666666666663
pos_MONTH_LAST_DPD,205.33479282855987,29.8
family_status_mean_income_rel,206.23771003534398,29.8
OBS_60_CNT_SOCIAL_CIRCLE,195.08839362760386,29.53333333333333
prev_active_sum_AMT_CREDIT_GOODS_PERC,189.52527205546698,29.46666666666667
DEF_60_CNT_SOCIAL_CIRCLE,420.3086336533229,29.46666666666666
YEARS_BUILD_MODE,223.35926690896355,29.333333333333336
prev_recent_DAYS_LAST_DUE,177.04534348249436,28.933333333333337
prev_recent_DAYS_LAST_DUE_1ST_VERSION,205.703590486447,28.866666666666667
prev_NAME_CLIENT_TYPE_mode_mean_encode,197.21872626940407,28.8
prev_sum_AMT_DOWN_PAYMENT,218.92117656071977,28.4
bureau_recent_CREDIT_TYPE_mean_encode,185.69307627081872,28.066666666666663
bureau_sum_CREDIT_ACTIVE_Closed,231.7775934418042,27.866666666666667
AMT_ANNUITY_to_prev_refused,208.58456653157873,27.866666666666667
prev_sum_RATE_DOWN_PAYMENT,210.1677954876562,27.866666666666664
prev_approved_CNT_PAYMENT_SUM,217.93254104852676,27.73333333333333
prev_approved_AMT_DIFF_CREAPP_MEAN,179.96909362077713,27.73333333333333
prev_recent_AMT_APPLICATION,182.39000017748523,27.6
cnt_children_mean_income_rel,188.64329614043237,27.333333333333332
prev_active_sum_AMT_LEFT3,185.35638737281164,27.06666666666667
REG_CITY_NOT_LIVE_CITY,273.7149531364441,26.73333333333333
pos_recent_CNT_INSTALMENT,219.87481603200234,26.133333333333336
cc_mean4_CNT_DRAWINGS_CURRENT,203.9705913066864,26.06666666666667
bureau_active_avg_AMT_CREDIT_LEFT_OVER_ANNUITY,269.4045402487119,26.06666666666667
NAME_TYPE_SUITE_mean_encode,173.38491657525302,25.866666666666664
prev_NAME_PRODUCT_TYPE_mode_mean_encode,188.73058563868204,25.73333333333333
prev_avg_DAYS_FIRST_DRAWING,165.77637928550442,25.73333333333333
cc_mean4_AMT_DRAWINGS_ATM_CURRENT,318.59203587770463,25.6
ENTRANCES_MODE,155.86985560854276,25.53333333333334
bureau_count,201.49191011190413,25.53333333333333
bureau_sum_STATUS_TCNT_DPD_MEAN,223.9860527038574,25.466666666666665
AMT_DIFF_CREDIT_GOODS_to_prev_refused,181.8199113984903,25.4
AMT_CREDIT_GOODS_PERC_to_prev_refused,173.97554049491882,25.4
bureau_sum_CREDIT_CURRENCY_currency 1,199.6484725162387,25.000000000000004
prev_refused_AMT_ANNUITY_MAX,179.86735656261445,25.0
LIVINGAPARTMENTS_MODE,194.36264911033214,24.733333333333338
inst_mean_AMT_PAYMENT_DIFF_SCALE,200.63021236260732,24.53333333333334
prev_DEFALUTED_RATIO,440.24069633483884,24.46666666666667
AMT_CREDIT_to_prev_refused,154.20212350686393,24.46666666666667
prev_refused_CNT_PAYMENT_MEAN,216.95730084180832,24.46666666666667
bureau_active_avg_AMT_CREDIT_MAX_OVERDUE,190.7594558785359,24.46666666666667
bureau_recent_AMT_CREDIT_MAX_OVERDUE,221.3783278465271,24.466666666666665
prev_recent_NAME_GOODS_CATEGORY_mean_encode,159.85411917467914,24.46666666666666
cc_max_AMT_BALANCE_CREDIT_RATIO,317.6168962607781,24.2
prev_refused_CNT_PAYMENT_SUM,198.25814912319183,24.06666666666667
bureau_sum_STATUS_12CNT_C,146.1026840036114,23.666666666666664
inst_mean_AMT_PAYMENT_DIFF,205.6660835703214,23.6
NAME_HOUSING_TYPE_mean_encode,135.41452179923652,23.2
prev_sum_DAYS_END_DIFF,164.35586470762888,23.06666666666667
prev_refused_AMT_PAY_YEAR_MEAN,165.38419538736343,23.06666666666667
pos_recent_NAME_CONTRACT_STATUS_mean_encode,144.61387661198776,23.066666666666666
prev_refused_AMT_CREDIT_SUM,153.30673901438712,22.8
prev_NAME_CASH_LOAN_PURPOSE_mode_mean_encode,140.59651275599998,22.8
prev_refused_AMT_CREDIT_MEAN,145.07896276315054,22.53333333333334
Total_AMT_LEFT_INCOME_RATIO,154.15183129310608,22.46666666666666
prev_sum_CNT_PAYMENT_DIFF,179.00065194368364,22.4
bureau_sum_STATUS_TCNT_X,181.5322182337443,22.333333333333336
inst_var_AMT_PAYMENT_PERC,180.75452778736752,22.333333333333332
prev_recent_NAME_YIELD_GROUP_mean_encode,132.96049081186453,22.266666666666662
prev_active_sum_AMT_DIFF_CREAPP,204.46590515772502,22.2
prev_active_sum_AMT_DIFF_CREDIT_GOODS,221.26278789838156,22.2
AMT_REQ_CREDIT_BUREAU_MON_CHANGE,195.49982954661053,22.133333333333333
AMT_REQ_CREDIT_BUREAU_QRT_CHANGE,148.77346163988113,22.06666666666667
prev_sum_CNT_PAYMENT,164.64581485191985,22.000000000000004
prev_active_sum_AMT_PAY_YEAR,173.1880315919717,21.8
prev_NAME_PAYMENT_TYPE_mode_mean_encode,134.0091786618034,21.73333333333333
prev_refused_AMT_PAY_YEAR_MAX,157.0859642545382,21.666666666666668
DOCUMENT_CNT,269.7934643268585,21.46666666666667
cc_score,146.4962451418241,21.4
prev_recent_NAME_SELLER_INDUSTRY_mean_encode,132.673324645559,21.266666666666666
prev_refused_AMT_APPLICATION_MEAN,140.15353893240294,20.8
bureau_max_MONTH_LAST_C,188.49229044119517,20.733333333333334
prev_refused_AMT_ANNUITY_MEAN,137.14489133371973,20.533333333333335
prev_CHANNEL_TYPE_mode_mean_encode,127.17292632261913,20.4
inst_var_AMT_PAYMENT_DIFF,137.0030207713445,20.133333333333333
prev_active_sum_AMT_LEFT2,140.66162513097126,20.06666666666667
bureau_CREDIT_ACTIVE_mode_mean_encode,151.4852693458398,20.066666666666666
Total_active_acc,142.0538035313288,20.0
bureau_active_avg_AMT_ANNUITY,191.54737769762679,19.999999999999996
prev_NAME_YIELD_GROUP_mode_mean_encode,127.03118246148031,19.866666666666667
prev_refused_AMT_APPLICATION_MAX,141.13793647289276,19.666666666666668
bureau_recent_AMT_ANNUITY,130.1037094275157,19.6
bureau_active_avg_AMT_CREDIT_SUM_LIMIT,121.77772532800832,19.26666666666667
bureau_active_avg_AMT_MAX_OVERDUE_RATIO,120.36674872040749,19.0
prev_recent_DAYS_TERMINATION,138.3599518696467,18.93333333333333
prev_NAME_CONTRACT_TYPE_mode_mean_encode,131.41480456590654,18.73333333333333
prev_closest_annuity_defaulted,304.04807765483855,18.666666666666668
AMT_REQ_CREDIT_BUREAU_YEAR,121.04265541632972,18.6
cc_mean4_CNT_DRAWINGS_ATM_CURRENT,342.1185105800629,18.46666666666667
prev_refused_APP_CREDIT_PERC_MEAN,126.97902767906587,18.466666666666665
bureau_sum_MONTH_LAST_C,149.41336660583812,18.4
prev_max_DAYS_FIRST_DRAWING,126.29597131411235,18.4
